Section,Data type,Collected,Shared,Purposes,Optional or required,Processed ephemerally,Notes
Overview,Collects or shares required data,TRUE,,,,,"Yes — see rows below"
Overview,All collected data encrypted in transit,TRUE,,,,,"E2E for sync; TLS to account service"
Overview,Provides a data-deletion method,TRUE,,,,,"Meetings deletable in-app; CONFIRM account-deletion route before submitting"
Audio,Voice or sound recordings,TRUE,FALSE,App functionality,Optional,FALSE,"User starts each recording; synced E2E to own devices only"
User-generated content,Other user-generated content (notes/transcript/summary),TRUE,FALSE,App functionality,Optional,FALSE,"Typed notes + desktop-derived transcript/summary; synced E2E"
Personal info,Email address,TRUE,FALSE,"Account management, App functionality",Optional,FALSE,"Only if the user signs in for sync"
Device or other IDs,Sync endpoint id,TRUE,FALSE,App functionality,Required,FALSE,"App-generated sync identifier published to the user's own account directory; classification is a judgement call"
Location,Any,FALSE,FALSE,,,,"Not collected"
Financial info,Any,FALSE,FALSE,,,,"Not collected (billing is web/desktop-side, not this app)"
Health and fitness,Any,FALSE,FALSE,,,,"Not collected"
Contacts / Calendar / SMS,Any,FALSE,FALSE,,,,"Not collected"
App activity / diagnostics,Analytics or crash logs,FALSE,FALSE,,,,"No telemetry SDK bundled (verified)"
Advertising,Any use for ads,FALSE,FALSE,,,,"No ads; data not sold"
